id,first_name,last_name,position,id_team,abbreviation,city,conference,division,full_name,name
775,Eric,Anderson,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
776,Tim,Kempton,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
777,Stan,Kimbrough,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
778,Jay,Guidinger,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
779,Gary,Plummer,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
780,Matt,Geiger,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
781,Marcus,Webb,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
782,Jojo,English,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
783,Marlon,Maxey,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
784,Jon,Barry,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
785,Richard,Dumas,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
786,Radisav,Curcic,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
787,Andre,Spencer,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
788,Dexter,Cambridge,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
789,Joe,Courtney,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
790,Duane,Washington,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
791,Melvin,Newbern,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
792,Ricky,Blanton,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
793,Jim,Jackson,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
794,Barry,Stevens,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
795,Doug,Christie,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
796,Pat,Durham,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
797,Thomas,Jordan,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
798,Gary,Alexander,,16,MIA,Miami,East,Southeast,Miami Heat,Heat
799,Anfernee,Hardaway,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
800,Keith,Tower,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
801,Chris,Whitney,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
802,Josh,Grant,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
803,Bobby,Hurley,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
804,Mike,Peplowski,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
805,Darnell,Mee,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
806,Rodney,Rogers,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
807,Acie,Earl,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
808,Dino,Radja,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
809,Chris,Mills,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
810,Vin,Baker,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
811,Antonio,Harvey,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
812,Nick,Van Exel,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
813,Terry,Dehere,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
814,James,Robinson,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
815,Corie,Blount,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
816,Toni,Kukoc,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
817,Michael,Curry,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
818,Shawn,Bradley,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
819,Warren,Kidd,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
820,Calbert,Cheaney,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
